# ID1,ID2,cost
1,2,0.1000
2,3,0.1000
3,4,0.1000
4,5,0.1000
5,6,0.1000
6,7,0.1000
7,8,0.1000
8,9,0.1000
9,10,0.1000
10,11,0.1000
6,12,0.1000
12,13,0.1000
8,14,0.1000
11,15,0.1000
12,16,0.1000
16,17,0.1000
3,18,0.1000
17,19,0.1000
8,20,0.1000
14,21,0.1000
16,22,0.1000
19,23,0.1000
11,24,0.1000
18,25,0.1000
17,26,0.1000
17,27,0.1000
20,28,0.1000
6,29,0.1000
15,30,0.1000
30,31,0.1000
10,32,0.1000
23,33,0.1000
23,34,0.1000
1,35,0.1000
24,36,0.1000
34,37,0.1000
34,38,0.1000
38,39,0.1000
38,40,0.1000
19,41,0.1000
5,42,0.1000
28,43,0.1000
25,44,0.1000
44,45,0.1000
14,46,0.1000
43,47,0.1000
34,48,0.1000
35,49,0.1000
32,50,0.1000
24,51,0.1000
36,52,0.1000
31,53,0.1000
47,54,0.1000
51,55,0.1000
28,56,0.1000
32,57,0.1000
34,58,0.1000
27,59,0.1000
34,60,0.1000
26,61,0.1000
24,62,0.1000
55,63,0.1000
52,64,0.1000
10,65,0.1000
20,66,0.1000
31,67,0.1000
33,68,0.1000
36,69,0.1000
37,70,0.1000
69,71,0.1000
12,72,0.1000
55,73,0.1000
65,74,0.1000
54,75,0.1000
54,76,0.1000
40,77,0.1000
51,78,0.1000
57,79,0.1000
9,80,0.1000
68,81,0.1000
34,82,0.1000
67,83,0.1000
21,84,0.1000
53,85,0.1000
70,86,0.1000
83,87,0.1000
87,88,0.1000
88,89,0.0802
